layer_idx,k_delta_compressibility,v_delta_compressibility,k_delta_norm,k_abs_norm,v_delta_norm,v_abs_norm,channel_structure_ratio,k_var_channel,k_var_token,k_outlier_fraction,sv_top50_energy,effective_rank_90,seq_len,head_dim,n_heads
0,-0.1011407576585075,-0.47287352826331563,10.57533073425293,9.60397720336914,0.15235064923763275,0.10343769937753677,1.5765785939136223,2.246842622756958,1.4251383543014526,0.01595325581729412,0.9898190498352051,16,595,64,4
1,0.4302370429950141,-0.5418198664770952,10.42789077758789,18.302156448364258,0.35101011395454407,0.22765961289405823,1.8562284814045973,5.43851900100708,2.9298758506774902,0.004221376031637192,0.965898871421814,24,595,64,4
2,0.29492762721744503,-0.5289208133910799,12.167197227478027,17.256664276123047,0.5153707265853882,0.3370813727378845,1.5702322747952093,4.904038906097412,3.1231296062469482,0.004372374154627323,0.9667990207672119,25,595,64,4
3,0.4032597651347396,-0.4112889934354371,10.887063980102539,18.244226455688477,1.2739328145980835,0.9026732444763184,2.079162772158761,5.263219833374023,2.5314130783081055,0.01708902232348919,0.908887505531311,31,595,64,4
4,0.3460049465419368,-0.32924757188496967,12.139223098754883,18.561643600463867,1.4052424430847168,1.05717134475708,2.0574089719810207,5.420405864715576,2.6345787048339844,0.015999212861061096,0.923443078994751,29,595,64,4
5,0.40277397354901157,-0.3280814701935231,11.831830978393555,19.811311721801758,1.6210401058197021,1.2205878496170044,2.1910001441087315,6.194899559020996,2.827430009841919,0.01851365529000759,0.9350571632385254,26,595,64,4
6,0.422399545810763,-0.2144410355928701,11.77487564086914,20.385848999023438,1.4997912645339966,1.2349642515182495,2.102467450677739,6.492470741271973,3.088024377822876,0.017561711370944977,0.940690815448761,25,595,64,4
7,0.46973659087577657,-0.24446462353944498,9.942642211914062,18.750383377075195,1.6088905334472656,1.2928375005722046,2.321782057414417,5.580410003662109,2.403502941131592,0.01873030513525009,0.9639301896095276,17,595,64,4
8,0.351473055755001,-0.11969337112481537,14.107901573181152,21.75376319885254,1.677396535873413,1.498085618019104,1.988557319825677,7.593331336975098,3.8185126781463623,0.02186843566596508,0.9242121577262878,28,595,64,4
9,0.46279727673936977,-0.17043504504510554,11.70595932006836,21.79058074951172,1.66062593460083,1.4188108444213867,2.1045098434824197,7.478055477142334,3.5533478260040283,0.01673450693488121,0.9379937648773193,24,595,64,4
10,0.453845177184531,-0.11494287367590816,11.281350135803223,20.655956268310547,1.6475647687911987,1.4777122735977173,1.9499439284886433,6.732908725738525,3.4528729915618896,0.017935924232006073,0.918472409248352,29,595,64,4
11,0.4989977046246331,-0.06089842200841944,10.483083724975586,20.924222946166992,1.854695439338684,1.7482309341430664,1.9508288810475074,6.928553581237793,3.5515947341918945,0.020056460052728653,0.9543967843055725,19,595,64,4
12,0.4887634234703314,-0.08250778624464306,11.124198913574219,21.759395599365234,1.861862063407898,1.7199525833129883,2.0290855411074054,7.5197529792785645,3.7059812545776367,0.017548581585288048,0.9482160806655884,20,595,64,4
13,0.46168737392567094,-0.03221899943928386,11.53903579711914,21.435565948486328,1.861169457435608,1.803076148033142,1.9859900422416192,7.3077592849731445,3.6796555519104004,0.018953518941998482,0.9307389855384827,26,595,64,4
14,0.4655562406401508,-0.017556022251239645,11.538213729858398,21.589200973510742,1.9873251914978027,1.9530376195907593,1.9656541089355517,7.441636085510254,3.785831928253174,0.017719274386763573,0.9262847900390625,27,595,64,4
15,0.4784133875392417,-0.0937067162912062,11.193445205688477,21.460376739501953,2.3344695568084717,2.1344566345214844,1.9663362457088867,7.286400318145752,3.7055718898773193,0.01762736402451992,0.9305068254470825,26,595,64,4
16,0.4856833423404121,-0.027914187490879483,11.308721542358398,21.987857818603516,2.080813407897949,2.024306535720825,1.9543426011231548,7.637897968292236,3.9081673622131348,0.01762079820036888,0.9249535799026489,27,595,64,4
17,0.47161370488105436,-0.15799286256886513,10.699732780456543,20.24983024597168,2.8512182235717773,2.462207078933716,2.0084118509652322,6.500125885009766,3.236450672149658,0.018677784129977226,0.947540283203125,21,595,64,4
18,0.44519378117685837,-0.1512941380274666,11.858742713928223,21.37456703186035,3.2989468574523926,2.865424871444702,1.9635936865666517,7.281128406524658,3.7080626487731934,0.01495535671710968,0.9586602449417114,19,595,64,4
19,0.478581960925884,-0.16469078303947016,10.821196556091309,20.753398895263672,3.4892187118530273,2.995832681655884,2.093946169119508,6.865968704223633,3.278961420059204,0.01852678507566452,0.9348840713500977,25,595,64,4
20,0.46225802683991235,-0.12744507036235975,11.126322746276855,20.690820693969727,3.447763681411743,3.058032512664795,2.0290861691329667,6.7917938232421875,3.3472180366516113,0.016714811325073242,0.9389764666557312,24,595,64,4
21,0.40571533873950016,-0.15548530804535776,11.856108665466309,19.950218200683594,4.558401584625244,3.9450104236602783,1.972064236472359,6.344982624053955,3.2174320220947266,0.017351627349853516,0.9106834530830383,31,595,64,4
