model_name,context_type,seq_len,perplexity,loss,n_prefix_tokens,n_continuation_tokens,inference_ms,avg_kv_entries
Qwen,prose,60,7.671424247496996,2.0375022888183594,30,30,6458.285800064914,60.0
Qwen,prose,80,7.302859554238853,1.9882659912109375,40,40,8430.12449995149,80.0
Qwen,prose,100,6.195835263190504,1.8238773345947266,50,50,10236.71089997515,100.0
Qwen,prose,120,5.046245972898139,1.6186445951461792,60,60,12264.530800050125,120.0
Qwen,prose,160,4.423457667800202,1.4869216680526733,80,80,16093.020900036208,160.0
Qwen,prose,200,5.339088935079865,1.6750550270080566,100,100,20504.50230005663,200.0
Qwen,prose,256,6.596713996536666,1.8865716457366943,128,128,25470.027799950913,256.0
Qwen,prose,320,8.062444949224837,2.087216854095459,160,160,31865.06099998951,320.0
Qwen,prose,512,7.549656140920737,2.0215020179748535,256,256,53495.481699937955,512.0
Qwen,code,60,3.0417741395227496,1.1124409437179565,30,30,7274.536699987948,60.0
Qwen,code,80,1.8349595988255594,0.6070224642753601,40,40,8811.417300021276,80.0
Qwen,code,100,1.6744621714384236,0.5154920220375061,50,50,14093.841099995188,100.0
Qwen,code,120,1.4242607743793059,0.3536529242992401,60,60,14776.966999983415,120.0
Qwen,code,160,1.7549286071487138,0.5624281764030457,80,80,20135.178199969232,160.0
Qwen,code,200,2.2899644010423192,0.8285362720489502,100,100,21925.343599985354,200.0
Qwen,code,256,2.9086694323788085,1.0676957368850708,128,128,30468.317899969406,256.0
Qwen,code,320,2.6248231019207506,0.9650135040283203,160,160,36739.594199927524,320.0
Qwen,code,512,1.9922730407407374,0.6892762184143066,256,182,69467.38219994586,438.0
TinyLlama,prose,60,7.2713825296368615,1.983946442604065,30,30,11144.795499974862,60.0
TinyLlama,prose,80,5.171343748435686,1.6431325674057007,40,40,14038.29339996446,80.0
TinyLlama,prose,100,4.868863147078155,1.5828604698181152,50,50,17847.824199940078,100.0
TinyLlama,prose,120,3.5654722058715067,1.271296501159668,60,60,22456.2538000755,120.0
TinyLlama,prose,160,3.8234517789775837,1.341153621673584,80,80,48115.67400000058,160.0
TinyLlama,prose,200,3.476606919883454,1.2460567951202393,100,100,57585.46239999123,200.0
TinyLlama,prose,256,4.585810497963395,1.5229668617248535,128,128,73666.63019999396,256.0
TinyLlama,prose,320,4.750771622324387,1.5583070516586304,160,160,94424.07449998427,320.0
TinyLlama,prose,512,5.802165919468301,1.758231282234192,256,256,153031.53629996814,512.0
TinyLlama,code,60,2.4112658724157283,0.8801518678665161,30,30,18252.065800013952,60.0
TinyLlama,code,80,1.9487330925313338,0.6671794652938843,40,40,23809.891999932006,80.0
TinyLlama,code,100,1.6421586310511853,0.4960116147994995,50,50,29490.008300053887,100.0
TinyLlama,code,120,1.3721477630738597,0.3163772225379944,60,60,35541.862400015816,120.0
TinyLlama,code,160,1.254368921932874,0.22663259506225586,80,80,47152.09840005264,160.0
TinyLlama,code,200,1.5825478504522512,0.45903611183166504,100,100,59005.97719999496,200.0
TinyLlama,code,256,2.0806929838770394,0.7327010035514832,128,128,72950.71260002442,256.0
TinyLlama,code,320,2.2065387446755578,0.7914251089096069,160,160,70995.1595000457,320.0
TinyLlama,code,512,1.6763813367963671,0.5166375041007996,256,256,94700.65430004615,512.0
