model_name,context_type,seq_len,press_name,perplexity,loss,n_prefix_tokens,n_continuation_tokens,inference_ms,avg_kv_entries
Qwen,prose,128,baseline,5.155453980253749,1.6400551795959473,64,64,1050.9325659950264,128.0
Qwen,prose,256,baseline,6.595909569038631,1.8864496946334839,128,128,2049.1326589981327,256.0
Qwen,prose,512,baseline,7.550188953295094,2.0215725898742676,256,256,4112.00517200632,512.0
Qwen,prose,1024,baseline,5.560442760023507,1.7156777381896973,512,120,5301.256762992125,632.0
Qwen,code,128,baseline,1.3878611977419866,0.3277638554573059,64,64,1034.0088280063355,128.0
Qwen,code,256,baseline,2.9077087733599614,1.0673654079437256,128,128,2050.774335002643,256.0
Qwen,code,512,baseline,1.9920829330998369,0.6891807913780212,256,182,3512.8882189892465,438.0
Qwen,code,1024,baseline,,,437,1,3667.9069499950856,438.0
TinyLlama,prose,128,baseline,3.330049584298682,1.2029871940612793,64,64,1884.943230994395,128.0
TinyLlama,prose,256,baseline,4.586320023836909,1.5230779647827148,128,128,3843.45352499804,256.0
TinyLlama,prose,512,baseline,5.802046953090684,1.7582107782363892,256,256,8018.495180993341,512.0
TinyLlama,prose,1024,baseline,4.293326699190992,1.4570618867874146,512,218,11803.825204988243,730.0
TinyLlama,code,128,baseline,1.43254494687683,0.3594525456428528,64,64,1888.3498399954988,128.0
TinyLlama,code,256,baseline,2.0810024342068494,0.7328497171401978,128,128,3828.677663987037,256.0
TinyLlama,code,512,baseline,1.676493051206088,0.5167041420936584,256,256,7993.6774329980835,512.0
TinyLlama,code,1024,baseline,1.7618705029235038,0.5663760304450989,512,83,9524.649043989484,595.0
