model,method,n_prefix_tokens,n_continuation_tokens,perplexity,loss,inference_ms,avg_kv_entries
Qwen,fp8-press,30,30,14.242778409807016,2.65625,1064.0549659729004,59.0
Qwen,fp8-press,40,40,8.115290514356445,2.09375,766.9057109160349,79.0
Qwen,fp8-press,50,50,7.623609917712736,2.03125,942.5313459942117,99.0
Qwen,fp8-press,60,60,7.865609273944892,2.0625,1111.1720639746636,119.0
Qwen,fp8-press,80,80,16.651494963610144,2.8125,1469.9558420106769,159.0
Qwen,fp8-press,100,100,25.790339917193062,3.25,1846.567659988068,199.0
Qwen,fp8-press,128,128,23.118311288923124,3.140625,2310.4124799137935,255.0
Qwen,fp8-press,160,160,19.165753221675935,2.953125,2950.2713980618864,319.0
Qwen,fp8-press,256,256,9.788908901255894,2.28125,4740.7741190399975,511.0
Qwen,fp8-press,512,512,6.833759763883972,1.921875,9627.169020008296,1023.0
Qwen,fp8-press,1024,1024,11.624616945432633,2.453125,18929.99841296114,2047.0
Qwen,fp8-press,2048,2048,14.926303617194517,2.703125,39382.92587304022,4095.0
Qwen,fp8-press,4096,4096,16.91371785382974,2.828125,76071.94193196483,8191.0
Qwen,hqq-8-bit,30,30,14.021964597512564,2.640625,1466.2057199748233,1.0
Qwen,hqq-8-bit,40,40,7.865609273944892,2.0625,1982.2048320202157,1.0
Qwen,hqq-8-bit,50,50,7.623609917712736,2.03125,2491.9070199830458,1.0
Qwen,hqq-8-bit,60,60,7.331554008170247,1.9921875,2955.662844935432,1.0
Qwen,hqq-8-bit,80,80,15.888967492629165,2.765625,3969.945971039124,1.0
Qwen,hqq-8-bit,100,100,26.609013186724894,3.28125,5048.267254023813,1.0
Qwen,hqq-8-bit,128,128,24.22778221261098,3.1875,6737.724667065777,1.0
Qwen,hqq-8-bit,160,160,21.049461966173517,3.046875,8378.264979925007,1.0
Qwen,hqq-8-bit,256,256,9.943061786014486,2.296875,14021.180183975957,1.0
Qwen,hqq-8-bit,512,512,6.941375821197036,1.9375,28942.412188043818,1.0
Qwen,hqq-8-bit,1024,1024,11.993621898152476,2.484375,76301.69672588818,1.0
Qwen,hqq-8-bit,2048,2048,14.926303617194517,2.703125,160541.23003198765,1.0
Qwen,hqq-8-bit,4096,4096,17.725424121461643,2.875,250061.99409498367,1.0
Qwen,hqq-4-bit,30,30,39.94485987582193,3.6875,2210.347348009236,1.0
Qwen,hqq-4-bit,40,40,36.942956250241515,3.609375,2883.375359000638,1.0
Qwen,hqq-4-bit,50,50,39.32557222442699,3.671875,3524.9408331001177,1.0
Qwen,hqq-4-bit,60,60,27.4536739354601,3.3125,4135.391194024123,1.0
Qwen,hqq-4-bit,80,80,130.9741532108186,4.875,5554.575827089138,1.0
Qwen,hqq-4-bit,100,100,356.0246606707791,5.875,6685.737489024177,1.0
Qwen,hqq-4-bit,128,128,168.17414165184545,5.125,8621.953056077473,1.0
Qwen,hqq-4-bit,160,160,168.17414165184545,5.125,11009.100213996135,1.0
Qwen,hqq-4-bit,256,256,50.49503426195374,3.921875,16899.400547030382,1.0
Qwen,hqq-4-bit,512,512,34.16664924473404,3.53125,32151.080076000653,1.0
Qwen,hqq-4-bit,1024,1024,56.33128135834348,4.03125,68924.24214200582,1.0
Qwen,hqq-4-bit,2048,2048,81.9615307508321,4.40625,144573.38535401504,1.0
Qwen,hqq-4-bit,4096,4096,173.5125619611118,5.15625,228204.13737697527,1.0
TinyLlama,fp8-press,30,30,9.340642126143496,2.234375,552.3659610189497,59.0
TinyLlama,fp8-press,40,40,5.891069145785306,1.7734375,706.818560953252,79.0
TinyLlama,fp8-press,50,50,4.587969263865388,1.5234375,865.6162930419669,99.0
TinyLlama,fp8-press,60,60,5.239625362128489,1.65625,1040.1774420170113,119.0
TinyLlama,fp8-press,80,80,5.709820002693286,1.7421875,1390.624345978722,159.0
TinyLlama,fp8-press,100,100,6.5208191203301125,1.875,1756.668142043054,199.0
TinyLlama,fp8-press,128,128,7.505416801107283,2.015625,2190.6087229726836,255.0
TinyLlama,fp8-press,160,160,7.161718742493711,1.96875,2659.6098400186747,319.0
TinyLlama,fp8-press,256,256,6.222209072198332,1.828125,4404.577404027805,511.0
TinyLlama,fp8-press,512,512,3.545307861223541,1.265625,8820.295208017342,1023.0
TinyLlama,fp8-press,1024,1024,6.623507079583559,1.890625,17755.97335002385,2047.0
TinyLlama,fp8-press,2048,2048,3173.213259472856,8.0625,35549.30127505213,4095.0
TinyLlama,fp8-press,4096,4096,22026.465794806718,10.0,70376.93353393115,8191.0
TinyLlama,hqq-8-bit,30,30,9.340642126143496,2.234375,1414.4995450042188,1.0
TinyLlama,hqq-8-bit,40,40,5.84522448197963,1.765625,1854.5117160538211,1.0
TinyLlama,hqq-8-bit,50,50,4.587969263865388,1.5234375,2297.624943079427,1.0
TinyLlama,hqq-8-bit,60,60,5.239625362128489,1.65625,2792.600029031746,1.0
TinyLlama,hqq-8-bit,80,80,5.709820002693286,1.7421875,3706.969465012662,1.0
TinyLlama,hqq-8-bit,100,100,6.5208191203301125,1.875,4646.367611945607,1.0
TinyLlama,hqq-8-bit,128,128,7.505416801107283,2.015625,6051.197478082031,1.0
TinyLlama,hqq-8-bit,160,160,7.161718742493711,1.96875,7483.530414989218,1.0
TinyLlama,hqq-8-bit,256,256,6.173787457040811,1.8203125,12254.072258947417,1.0
TinyLlama,hqq-8-bit,512,512,3.545307861223541,1.265625,25902.81077893451,1.0
TinyLlama,hqq-8-bit,1024,1024,6.571962538556527,1.8828125,55285.17870500218,1.0
TinyLlama,hqq-8-bit,2048,2048,3173.213259472856,8.0625,105041.087841033,1.0
TinyLlama,hqq-8-bit,4096,4096,20691.949695255636,9.9375,236803.54387196712,1.0
TinyLlama,hqq-4-bit,30,30,9.195828892530896,2.21875,2404.89822300151,1.0
TinyLlama,hqq-4-bit,40,40,5.84522448197963,1.765625,2970.386791974306,1.0
TinyLlama,hqq-4-bit,50,50,4.6239531527820805,1.53125,3615.471512079239,1.0
TinyLlama,hqq-4-bit,60,60,5.405948925141167,1.6875,4328.631781972945,1.0
TinyLlama,hqq-4-bit,80,80,5.799736584178129,1.7578125,5776.379962917417,1.0
TinyLlama,hqq-4-bit,100,100,6.67545588945633,1.8984375,7094.799180980772,1.0
TinyLlama,hqq-4-bit,128,128,7.623609917712736,2.03125,8791.31270002108,1.0
TinyLlama,hqq-4-bit,160,160,7.38905609893065,2.0,10795.983357005753,1.0
TinyLlama,hqq-4-bit,256,256,6.369764508102507,1.8515625,16877.90624704212,1.0
TinyLlama,hqq-4-bit,512,512,3.5731140554059015,1.2734375,31782.062227022834,1.0
TinyLlama,hqq-4-bit,1024,1024,6.67545588945633,1.8984375,61938.42287897132,1.0
TinyLlama,hqq-4-bit,2048,2048,3377.8679316735347,8.125,95562.51752504613,1.0
TinyLlama,hqq-4-bit,4096,4096,22026.465794806718,10.0,264213.0411369726,1.0
